Id,Face,Hair length,Hair style and texture,Height,Torso,Limbs,Top-half clothing,Bottom-half clothing ,Shoes,Accessories,Assistive devices,Facial hair
1,2,4,2,1,2,3,3,1,1,1,1,4
2,4,5,5,4,4,2,3,3,3,3,1,1
3,4,4,4,3,2,3,4,4,3,4,2,4
4,2,5,5,4,3,2,3,3,2,2,5,3
5,5,3,4,1,2,2,4,1,1,5,3,2
6,5,5,5,3,4,4,3,2,2,4,1,4
7,4,3,5,3,4,4,5,5,5,5,4,2
8,5,4,4,5,4,3,2,2,2,3,3,3
9,5,3,2,4,3,3,1,1,1,1,1,5
10,4,5,5,2,3,1,2,2,2,3,,
11,5,5,4,3,3,2,2,2,1,1,3,3
12,5,3,5,1,2,2,4,2,1,3,3,1
13,4,3,5,1,2,1,2,1,1,1,3,4
14,3,4,3,1,1,1,4,2,1,1,3,2
15,5,4,5,4,4,3,4,3,2,2,1,2
16,4,5,5,2,4,2,3,3,2,1,1,1
17,3,5,5,3,2,2,4,4,4,4,2,1
18,3,4,5,1,2,2,4,3,3,5,,
19,4,4,4,2,4,3,5,4,3,3,2,2
20,4,4,4,5,3,3,4,4,4,4,5,
21,5,4,5,3,3,3,4,3,2,5,5,3
22,3,4,5,3,4,4,4,4,4,3,1,4
23,3,3,5,3,3,2,4,3,3,4,1,2
24,2,4,5,2,2,2,3,3,2,1,4,4
25,3,3,4,5,4,2,3,2,1,3,3,4
26,4,4,3,3,1,1,4,1,3,4,4,5
27,4,4,5,3,4,3,4,4,2,2,2,1
28,5,4,1,2,5,2,4,2,1,2,1,2
29,5,3,4,2,3,2,3,4,1,1,,
31,3,5,4,2,4,4,5,5,3,3,4,3
32,4,4,5,5,3,3,2,2,2,3,5,4
33,1,5,5,1,3,1,5,5,5,5,3,5
34,4,4,4,2,3,2,2,2,1,1,1,3
35,5,3,3,3,5,5,4,4,3,3,1,4
36,4,3,5,4,4,2,4,4,4,5,5,2
