model_id,body_part,color,chamfer_distance
00185,overall,NA,0.018928198618204613
00185,Hands,"1.0,0.0,0.0",0.07017241503722924
00185,Shoes,"0.0,0.0,1.0",0.032649181345424466
00185,Top-Half Clothes,"1.0,1.0,0.0",0.020763468651927415
00185,Bottom-Half Clothes,"1.0,0.0,1.0",0.022691095750277286
00185,Hair,"0.0,1.0,0.0",0.018094182336872367
00185,Head,"1.0,0.5,0.0",0.01593658853058126
00151,overall,NA,0.026638759789440497
00151,Hands,"1.0,0.0,0.0",0.07297860353263598
00151,Shoes,"0.0,0.0,1.0",0.03276652368527795
00151,Bottom-Half Clothes,"1.0,0.0,1.0",0.02061707878210081
00151,Top-Half Clothes,"1.0,1.0,0.0",0.023122976537671314
00151,Hair,"0.0,1.0,0.0",0.02426310731222718
00151,Head,"1.0,0.5,0.0",0.022069974538444538
00122,overall,NA,0.03639662687195521
00122,Hands,"1.0,0.0,0.0",0.10026421072382488
00122,Top-Half Clothes,"1.0,1.0,0.0",0.027187518001355084
00122,Shoes,"0.0,0.0,1.0",0.04372571076777158
00122,Legs,"0.0,0.8,0.8",0.026403904426181214
00122,Bottom-Half Clothes,"1.0,0.0,1.0",0.021516272622022374
00122,Head,"1.0,0.5,0.0",0.0463011701574161
00122,Hair,"0.0,1.0,0.0",0.03223935697252346
00187,overall,NA,0.028382764376376227
00187,Hands,"1.0,0.0,0.0",0.1186879917039832
00187,Top-Half Clothes,"1.0,1.0,0.0",0.027658793469285556
00187,Shoes,"0.0,0.0,1.0",0.03135672534435986
00187,Hair,"0.0,1.0,0.0",0.0358718249000509
00187,Legs,"0.0,0.8,0.8",0.027670688000501358
00187,Head,"1.0,0.5,0.0",0.01896300177960925
00147,overall,NA,0.02661613882795482
00147,Hands,"1.0,0.0,0.0",0.07583805583585423
00147,Shoes,"0.0,0.0,1.0",0.02266840354685595
00147,Bottom-Half Clothes,"1.0,0.0,1.0",0.02138589159591811
00147,Top-Half Clothes,"1.0,1.0,0.0",0.023989695985635086
00147,Hair,"0.0,1.0,0.0",0.035672116591355066
00147,Legs,"0.0,0.8,0.8",0.022948545731723877
00147,Head,"1.0,0.5,0.0",0.038681673502033415
00188,overall,NA,0.03409275824204465
00188,Hands,"1.0,0.0,0.0",0.17512242806706554
00188,Top-Half Clothes,"1.0,1.0,0.0",0.030264608236410598
00188,Shoes,"0.0,0.0,1.0",0.04362688423353626
00188,Bottom-Half Clothes,"1.0,0.0,1.0",0.02159123363107364
00188,Hair,"0.0,1.0,0.0",0.039686958371779636
00188,Head,"1.0,0.5,0.0",0.040034032846847575
00168,overall,NA,0.022598325170935084
00168,Shoes,"0.0,0.0,1.0",0.044581754515772495
00168,Bottom-Half Clothes,"1.0,0.0,1.0",0.020817612338344713
00168,Hands,"1.0,0.0,0.0",0.06909369879255915
00168,Top-Half Clothes,"1.0,1.0,0.0",0.028173031721642757
00168,Hair,"0.0,1.0,0.0",0.027369924858723457
00168,Head,"1.0,0.5,0.0",0.01768442092268007
00180,overall,NA,0.030874553574845434
00180,Hands,"1.0,0.0,0.0",0.1087293119470226
00180,Top-Half Clothes,"1.0,1.0,0.0",0.029079359278152986
00180,Bottom-Half Clothes,"1.0,0.0,1.0",0.032604253902072416
00180,Legs,"0.0,0.8,0.8",0.02413268720583199
00180,Hair,"0.0,1.0,0.0",0.02232147168452127
00180,Shoes,"0.0,0.0,1.0",0.033927784460350684
00180,Head,"1.0,0.5,0.0",0.025383269085528293
00191,overall,NA,0.022604440272458635
00191,Hands,"1.0,0.0,0.0",0.08640398731965215
00191,Shoes,"0.0,0.0,1.0",0.024913579554560958
00191,Top-Half Clothes,"1.0,1.0,0.0",0.02194304797539383
00191,Bottom-Half Clothes,"1.0,0.0,1.0",0.018745886375750736
00191,Head,"1.0,0.5,0.0",0.03185500294555729
00191,Hair,"0.0,1.0,0.0",0.019402949627999273
00174,overall,NA,0.025439178295720587
00174,Hands,"1.0,0.0,0.0",0.10602652587979025
00174,Top-Half Clothes,"1.0,1.0,0.0",0.026778644005804444
00174,Shoes,"0.0,0.0,1.0",0.03793912203419471
00174,Bottom-Half Clothes,"1.0,0.0,1.0",0.022761495425857613
00174,Hair,"0.0,1.0,0.0",0.021601546031246942
00174,Head,"1.0,0.5,0.0",0.0196532287199482
00152,overall,NA,0.029189470274107406
00152,Hands,"1.0,0.0,0.0",0.08734992316624558
00152,Shoes,"0.0,0.0,1.0",0.03846208782546316
00152,Legs,"0.0,0.8,0.8",0.023349113984099192
00152,Bottom-Half Clothes,"1.0,0.0,1.0",0.02264189556027172
00152,Top-Half Clothes,"1.0,1.0,0.0",0.02542854913731183
00152,Hair,"0.0,1.0,0.0",0.02696644782406811
00152,Head,"1.0,0.5,0.0",0.020351989767141268
00170,overall,NA,0.02797291114515756
00170,Hands,"1.0,0.0,0.0",0.15285767859943206
00170,Top-Half Clothes,"1.0,1.0,0.0",0.030708182370322256
00170,Bottom-Half Clothes,"1.0,0.0,1.0",0.025133659496383937
00170,Shoes,"0.0,0.0,1.0",0.028484391006655067
00170,Legs,"0.0,0.8,0.8",0.0305709667257674
00170,Hair,"0.0,1.0,0.0",0.02432847795108107
00170,Head,"1.0,0.5,0.0",0.029070638102179476
00127,overall,NA,0.037265971414961636
00127,Hands,"1.0,0.0,0.0",0.2185845360601943
00127,Top-Half Clothes,"1.0,1.0,0.0",0.03760324757796167
00127,Shoes,"0.0,0.0,1.0",0.0388675851399046
00127,Legs,"0.0,0.8,0.8",0.020619771734107527
00127,Bottom-Half Clothes,"1.0,0.0,1.0",0.020601872764598274
00127,Hair,"0.0,1.0,0.0",0.023794328055734726
00127,Head,"1.0,0.5,0.0",0.020581296813981353
00176,overall,NA,0.03459093935975694
00176,Hands,"1.0,0.0,0.0",0.09257680553407882
00176,Bottom-Half Clothes,"1.0,0.0,1.0",0.03009544701887922
00176,Shoes,"0.0,0.0,1.0",0.11387442883498283
00176,Top-Half Clothes,"1.0,1.0,0.0",0.03640423437939515
00176,Hair,"0.0,1.0,0.0",0.020403524482761698
00176,Head,"1.0,0.5,0.0",0.023088445391440077
00154,overall,NA,0.036547935826587545
00154,Hands,"1.0,0.0,0.0",0.19264380548376284
00154,Top-Half Clothes,"1.0,1.0,0.0",0.034002321161680574
00154,Shoes,"0.0,0.0,1.0",0.15817872659900553
00154,Bottom-Half Clothes,"1.0,0.0,1.0",0.025425318193075697
00154,Hair,"0.0,1.0,0.0",0.029731295959932638
00154,Head,"1.0,0.5,0.0",0.027687508455845444
00156,overall,NA,0.026328548622118385
00156,Hands,"1.0,0.0,0.0",0.052779750708084966
00156,Top-Half Clothes,"1.0,1.0,0.0",0.021450384360907584
00156,Shoes,"0.0,0.0,1.0",0.042292607562932835
00156,Bottom-Half Clothes,"1.0,0.0,1.0",0.02219548891008115
00156,Head,"1.0,0.5,0.0",0.016040736608098266
00156,Hair,"0.0,1.0,0.0",0.023775764013996278
