model_id,body_part,color,chamfer_distance
00168,overall,NA,0.02328917710502476
00168,Top-Half Clothes,"1.0,1.0,0.0",0.023263865214003976
00168,Shoes,"0.0,0.0,1.0",0.05566725205400393
00168,Bottom-Half Clothes,"1.0,0.0,1.0",0.027567980547769315
00168,Hair,"0.0,1.0,0.0",0.025857123375050646
00168,Hands,"1.0,0.0,0.0",0.0688896865082481
00168,Head,"1.0,0.5,0.0",0.019962167298574824
00135,overall,NA,0.0287142510766385
00135,Hands,"1.0,0.0,0.0",0.09332802965824798
00135,Top-Half Clothes,"1.0,1.0,0.0",0.023835843356594198
00135,Shoes,"0.0,0.0,1.0",0.033740447126375944
00135,Bottom-Half Clothes,"1.0,0.0,1.0",0.01998024866862727
00135,Legs,"0.0,0.8,0.8",0.018349334909444306
00135,Hair,"0.0,1.0,0.0",0.026400126930047264
00135,Head,"1.0,0.5,0.0",0.017673526136121692
00147,overall,NA,0.02340062600167965
00147,Top-Half Clothes,"1.0,1.0,0.0",0.025711043595544485
00147,Hands,"1.0,0.0,0.0",0.1304127555527098
00147,Shoes,"0.0,0.0,1.0",0.03196804922839202
00147,Hair,"0.0,1.0,0.0",0.019955705543084935
00147,Bottom-Half Clothes,"1.0,0.0,1.0",0.022113521200100246
00147,Legs,"0.0,0.8,0.8",0.021557490250621078
00147,Head,"1.0,0.5,0.0",0.021343690174567588
00190,overall,NA,0.02488938787005565
00190,Hands,"1.0,0.0,0.0",0.16627393035922014
00190,Top-Half Clothes,"1.0,1.0,0.0",0.025532433096561936
00190,Hair,"0.0,1.0,0.0",0.02939728208138719
00190,Shoes,"0.0,0.0,1.0",0.02297228829619543
00190,Bottom-Half Clothes,"1.0,0.0,1.0",0.03683798469817114
00190,Head,"1.0,0.5,0.0",0.028620028649222064
00175,overall,NA,0.02486711490321549
00175,Hands,"1.0,0.0,0.0",0.14408607905989432
00175,Top-Half Clothes,"1.0,1.0,0.0",0.026817858964993488
00175,Bottom-Half Clothes,"1.0,0.0,1.0",0.029292363591749325
00175,Shoes,"0.0,0.0,1.0",0.051423157700153405
00175,Head,"1.0,0.5,0.0",0.02043893610964699
00175,Hair,"0.0,1.0,0.0",0.022176512226802524
00169,overall,NA,0.02118510471960533
00169,Top-Half Clothes,"1.0,1.0,0.0",0.025871175929500934
00169,Bottom-Half Clothes,"1.0,0.0,1.0",0.026043537978356245
00169,Hands,"1.0,0.0,0.0",0.1449505958274533
00169,Shoes,"0.0,0.0,1.0",0.031169588817737414
00169,Hair,"0.0,1.0,0.0",0.018830089705818308
00169,Head,"1.0,0.5,0.0",0.013248299498060567
00123,overall,NA,0.03199888145363981
00123,Hands,"1.0,0.0,0.0",0.17425050984125445
00123,Top-Half Clothes,"1.0,1.0,0.0",0.029965403355618786
00123,Shoes,"0.0,0.0,1.0",0.047930353883999785
00123,Bottom-Half Clothes,"1.0,0.0,1.0",0.020519681393096303
00123,Hair,"0.0,1.0,0.0",0.01765067633205618
00123,Head,"1.0,0.5,0.0",0.02069022623890352
00136,overall,NA,0.024976185099948763
00136,Hands,"1.0,0.0,0.0",0.11713277212879894
00136,Top-Half Clothes,"1.0,1.0,0.0",0.02297289089189352
00136,Bottom-Half Clothes,"1.0,0.0,1.0",0.02935092201151765
00136,Shoes,"0.0,0.0,1.0",0.057686838713032665
00136,Hair,"0.0,1.0,0.0",0.015382699539586776
00136,Head,"1.0,0.5,0.0",0.01716276563865219
00149,overall,NA,0.022515108005883938
00149,Top-Half Clothes,"1.0,1.0,0.0",0.02152108676124759
00149,Bottom-Half Clothes,"1.0,0.0,1.0",0.02357931673990065
00149,Shoes,"0.0,0.0,1.0",0.04115980095052492
00149,Hands,"1.0,0.0,0.0",0.1190215488984518
00149,Legs,"0.0,0.8,0.8",0.022442619214817175
00149,Hair,"0.0,1.0,0.0",0.02121894896101075
00149,Head,"1.0,0.5,0.0",0.019829254164881124
00167,overall,NA,0.031580528577474745
00167,Hands,"1.0,0.0,0.0",0.17661597930041673
00167,Top-Half Clothes,"1.0,1.0,0.0",0.022645566217633747
00167,Bottom-Half Clothes,"1.0,0.0,1.0",0.030960924786769282
00167,Legs,"0.0,0.8,0.8",0.03494085895039828
00167,Shoes,"0.0,0.0,1.0",0.03396320225528272
00167,Hair,"0.0,1.0,0.0",0.021026689547384014
00167,Head,"1.0,0.5,0.0",0.014249510865396688
00188,overall,NA,0.037664111778912275
00188,Hands,"1.0,0.0,0.0",0.19775580626952297
00188,Top-Half Clothes,"1.0,1.0,0.0",0.03501909365379517
00188,Shoes,"0.0,0.0,1.0",0.05984819397129653
00188,Bottom-Half Clothes,"1.0,0.0,1.0",0.02623896192925346
00188,Hair,"0.0,1.0,0.0",0.030561684564750228
00188,Head,"1.0,0.5,0.0",0.028546421939717743
00176,overall,NA,0.0278674744637549
00176,Hands,"1.0,0.0,0.0",0.1662620495625047
00176,Top-Half Clothes,"1.0,1.0,0.0",0.033835461582787066
00176,Bottom-Half Clothes,"1.0,0.0,1.0",0.025727581140761235
00176,Shoes,"0.0,0.0,1.0",0.044004110797500426
00176,Hair,"0.0,1.0,0.0",0.019499639816199135
00176,Head,"1.0,0.5,0.0",0.01537364136307048
00185,overall,NA,0.031502787305440115
